Campaign ID;Campaign Name;Spend;Impressions;Clicks;Ad Formats
23077707730;Bison Bolton - October 2025 (YT) - Bumper;8499.16;3712236;8497;In-feed + Bumper + Shorts
22714966255;Borotalco Pure June 2025 (CPV);7799;5261165;2800;Skippable in-stream + In-feed
22524793110;Rio Mare Filodolio May - Jun 2025 (YT) - CPV;7724.17;3155186;3607;Skippable in-stream + In-feed + Shorts
22424964895;UHU Super Glue Control April 2025 (YT) - Bumper - CPM;7718.03;4211116;9889;Bumper + Shorts
23219213253;Bison AirMax November 2025 (YT) - CPM;6498.82;2749970;4192;Skippable in-stream + Shorts
23345854229;Rio Mare Great Taste December 2025 (YT) - CPM;5939.41;3684245;4118;Skippable in-stream + In-feed + Shorts
22183805418;LOC_HRV_HR_BAR_BLUE_NA_Always-on_AO_NA_2025-01-01_2025-12-31-Trueview;5910.23;3835675;2034;Skippable in-stream + In-feed
22629192638;Rio Mare For Oceans Jun 2025 (YT) - CPV;4997.56;1470854;2395;Skippable in-stream + In-feed
22579539314;Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;4500.04;2924005;6173;Bumper
22919079036;Borotalco Men Aug - Sep 2025 (CPV) - VVC;4259.3;1935960;3890;Skippable in-stream + In-feed
22857496712;Rio Mare Sicily August 2025 (YT) - CPM;4000.27;4160557;5136;Skippable in-stream + In-feed + Bumper + Shorts
22422142785;Rio Mare Insalatissime Apr - May 2025 (YT) - CPM;3998.9900000000002;2643686;5368;Skippable in-stream + Shorts
22306320697;LOC_HRV_HR_BAR_PESS_NA_Pesto-March_PR_NA_2025-03-10_2025-03-30_NA;3802.42;1831520;1817;Skippable in-stream + In-feed
22711295453;Borotalco Pure June 2025 (Bumper);3799.92;2410310;3961;Bumper
22309984514;LOC_HRV_HR_BAR_BLUE_NA_Togetherness_PR_NA_2025-03-17_2025-04-13_NA;3621.08;1763322;1379;Skippable in-stream + In-feed
23151406242;Rio Mare Pate Mayo October 2025 (YT) - CPM - 2;3563.6800000000003;2070787;1449;Skippable in-stream + In-feed + Shorts
22914435242;UHU BTS Aug - Sep 2025 (YT) - Bumper - CPM;2849.2599999999998;2053190;3279;In-feed + Bumper + Shorts
22928971609;Borotalco Men Aug - Sep 2025 (CPM) - Bumper;2637.96;1737161;3212;Bumper
22623027750;Rio Mare For Oceans Jun 2025 (YT) - Bumper;2097.35;1345763;2155;Bumper
23125923104;Rio Mare Pate Mayo October 2025 (YT) - CPM;435.87;233347;239;Skippable in-stream + In-feed + Shorts